Sparse 	0.104445 	 ms	S_Test : 5.94549e-15		 Dense 	0.043183	 msD_T : 5.94549e-15
Sparse 	0.186445 	 ms	S_Test : 2.28368e-07		 Dense 	0.180596	 msD_T : 2.28368e-07
Sparse 	0.385241 	 ms	S_Test : 4.4765e-07		 Dense 	0.493952	 msD_T : 4.4765e-07
Sparse 	0.272337 	 ms	S_Test : 7.7676e-07		 Dense 	0.412222	 msD_T : 7.7676e-07
Sparse 	0.559112 	 ms	S_Test : 6.77181e-07		 Dense 	0.840629	 msD_T : 6.77181e-07
Sparse 	0.654077 	 ms	S_Test : 7.0597e-07		 Dense 	1.08543	 msD_T : 7.0597e-07
Sparse 	1.62061 	 ms	S_Test : 7.27618e-07		 Dense 	2.68658	 msD_T : 7.27618e-07
Sparse 	1.87976 	 ms	S_Test : 9.29353e-07		 Dense 	3.22567	 msD_T : 9.29353e-07
Sparse 	2.01107 	 ms	S_Test : 5.15923e-07		 Dense 	3.8556	 msD_T : 5.15923e-07
Sparse 	1.20379 	 ms	S_Test : 8.44259e-07		 Dense 	2.47443	 msD_T : 8.44259e-07
Sparse 	1.82807 	 ms	S_Test : 6.14245e-07		 Dense 	3.76422	 msD_T : 6.14245e-07
Sparse 	2.36478 	 ms	S_Test : 9.63663e-07		 Dense 	4.68723	 msD_T : 9.63663e-07
Sparse 	4.05454 	 ms	S_Test : 7.73727e-07		 Dense 	6.0807	 msD_T : 7.73727e-07
Sparse 	2.89382 	 ms	S_Test : 7.05458e-07		 Dense 	6.71941	 msD_T : 7.05458e-07
Sparse 	4.45238 	 ms	S_Test : 5.99697e-07		 Dense 	9.78401	 msD_T : 5.99697e-07
Sparse 	2.61092 	 ms	S_Test : 8.31669e-07		 Dense 	5.87819	 msD_T : 8.31669e-07
Sparse 	5.03532 	 ms	S_Test : 8.33874e-07		 Dense 	10.6871	 msD_T : 8.33874e-07
Sparse 	5.51274 	 ms	S_Test : 8.50405e-07		 Dense 	15.5764	 msD_T : 8.50405e-07
Sparse 	9.50685 	 ms	S_Test : 7.17412e-07		 Dense 	16.5299	 msD_T : 7.17412e-07
Sparse 	8.09589 	 ms	S_Test : 8.33288e-07		 Dense 	24.0763	 msD_T : 8.33288e-07
Sparse 	4.75673 	 ms	S_Test : 9.26283e-07		 Dense 	12.8459	 msD_T : 9.26283e-07
