Sparse 	0.095394 	 ms	S_Test : 2.63996e-15		 Dense 	0.048823	 msD_T : 2.63996e-15
Sparse 	0.200584 	 ms	S_Test : 5.21894e-15		 Dense 	0.231366	 msD_T : 5.21894e-15
Sparse 	0.558177 	 ms	S_Test : 5.69922e-15		 Dense 	0.658737	 msD_T : 5.69922e-15
Sparse 	1.12744 	 ms	S_Test : 6.28884e-15		 Dense 	1.32938	 msD_T : 6.28884e-15
Sparse 	2.35478 	 ms	S_Test : 7.7587e-15		 Dense 	4.22908	 msD_T : 7.7587e-15
Sparse 	4.69832 	 ms	S_Test : 9.68693e-15		 Dense 	6.06016	 msD_T : 9.68693e-15
Sparse 	4.81515 	 ms	S_Test : 6.08131e-14		 Dense 	6.23146	 msD_T : 6.08131e-14
Sparse 	8.36879 	 ms	S_Test : 1.21595e-14		 Dense 	9.5496	 msD_T : 1.21595e-14
Sparse 	9.18891 	 ms	S_Test : 1.763e-14		 Dense 	12.8271	 msD_T : 1.763e-14
Sparse 	12.6687 	 ms	S_Test : 2.17145e-14		 Dense 	17.5845	 msD_T : 2.17145e-14
Sparse 	19.961 	 ms	S_Test : 1.90417e-14		 Dense 	27.4416	 msD_T : 1.90417e-14
Sparse 	24.8188 	 ms	S_Test : 7.86785e-15		 Dense 	30.5341	 msD_T : 7.86785e-15
Sparse 	28.2073 	 ms	S_Test : 2.22545e-14		 Dense 	39.2422	 msD_T : 2.22545e-14
Sparse 	34.6311 	 ms	S_Test : 3.64779e-08		 Dense 	45.2039	 msD_T : 3.64779e-08
Sparse 	40.9981 	 ms	S_Test : 9.60001e-07		 Dense 	50.7903	 msD_T : 9.60001e-07
Sparse 	47.1529 	 ms	S_Test : 4.60337e-07		 Dense 	70.5019	 msD_T : 4.60337e-07
Sparse 	66.8413 	 ms	S_Test : 9.72799e-07		 Dense 	83.1236	 msD_T : 9.72799e-07
Sparse 	66.716 	 ms	S_Test : 6.76302e-07		 Dense 	90.5098	 msD_T : 6.76302e-07
Sparse 	85.3348 	 ms	S_Test : 2.27638e-14		 Dense 	116.271	 msD_T : 2.27638e-14
Sparse 	111.24 	 ms	S_Test : 8.42262e-07		 Dense 	144.312	 msD_T : 8.42262e-07
Sparse 	112.283 	 ms	S_Test : 5.32604e-07		 Dense 	150.138	 msD_T : 5.32604e-07
Sparse 	144.736 	 ms	S_Test : 6.7552e-07		 Dense 	183.648	 msD_T : 6.7552e-07
Sparse 	153.847 	 ms	S_Test : 7.61136e-07		 Dense 	207.692	 msD_T : 7.61136e-07
Sparse 	193.321 	 ms	S_Test : 1.52987e-14		 Dense 	247.819	 msD_T : 1.52987e-14
Sparse 	214.051 	 ms	S_Test : 5.35919e-07		 Dense 	274.272	 msD_T : 5.35919e-07
Sparse 	221.769 	 ms	S_Test : 9.0065e-08		 Dense 	296.065	 msD_T : 9.0065e-08
Sparse 	255.784 	 ms	S_Test : 9.60482e-07		 Dense 	338.398	 msD_T : 9.60482e-07
Sparse 	277.834 	 ms	S_Test : 2.27919e-07		 Dense 	374.377	 msD_T : 2.27919e-07
Sparse 	299.257 	 ms	S_Test : 8.81524e-07		 Dense 	411.913	 msD_T : 8.81524e-07
Sparse 	311.591 	 ms	S_Test : 7.26162e-07		 Dense 	432.592	 msD_T : 7.26162e-07
Sparse 	386.888 	 ms	S_Test : 7.91052e-07		 Dense 	565.326	 msD_T : 7.91052e-07
Sparse 	537.877 	 ms	S_Test : 3.49984e-07		 Dense 	587.33	 msD_T : 3.49984e-07
Sparse 	512.738 	 ms	S_Test : 9.45106e-07		 Dense 	674.028	 msD_T : 9.45106e-07
Sparse 	545.691 	 ms	S_Test : 9.25837e-07		 Dense 	718.446	 msD_T : 9.25837e-07
Sparse 	553.487 	 ms	S_Test : 2.53139e-07		 Dense 	773.684	 msD_T : 2.53139e-07
Sparse 	592.205 	 ms	S_Test : 5.77791e-07		 Dense 	864.58	 msD_T : 5.77791e-07
Sparse 	976.044 	 ms	S_Test : 7.42591e-07		 Dense 	1044.59	 msD_T : 7.42591e-07
Sparse 	870.541 	 ms	S_Test : 8.28386e-07		 Dense 	1351.48	 msD_T : 8.28386e-07
Sparse 	880.428 	 ms	S_Test : 3.46518e-07		 Dense 	1175.06	 msD_T : 3.46518e-07
Sparse 	1207.4 	 ms	S_Test : 9.66881e-07		 Dense 	1297.23	 msD_T : 9.66881e-07
Sparse 	963.097 	 ms	S_Test : 8.14788e-07		 Dense 	1337.66	 msD_T : 8.14788e-07
Sparse 	1318.08 	 ms	S_Test : 5.10476e-09		 Dense 	1491.61	 msD_T : 5.10476e-09
Sparse 	1134.52 	 ms	S_Test : 8.45684e-07		 Dense 	1737.18	 msD_T : 8.45684e-07
Sparse 	1660.37 	 ms	S_Test : 6.2952e-07		 Dense 	2267.47	 msD_T : 6.2952e-07
Sparse 	2393.44 	 ms	S_Test : 7.23646e-07		 Dense 	2788.29	 msD_T : 7.23646e-07
Sparse 	2416.9 	 ms	S_Test : 4.17884e-07		 Dense 	3338.35	 msD_T : 4.17884e-07
Sparse 	2937.57 	 ms	S_Test : 9.86175e-07		 Dense 	2530.31	 msD_T : 9.86175e-07
Sparse 	2756.98 	 ms	S_Test : 7.43214e-07		 Dense 	4468.19	 msD_T : 7.43214e-07
Sparse 	2817.26 	 ms	S_Test : 7.51144e-07		 Dense 	4057.1	 msD_T : 7.51144e-07
Sparse 	2487.7 	 ms	S_Test : 5.64265e-07		 Dense 	3966.33	 msD_T : 5.64265e-07
Sparse 	2498.86 	 ms	S_Test : 8.75321e-07		 Dense 	2797.41	 msD_T : 8.75321e-07
Sparse 	1807.82 	 ms	S_Test : 8.9079e-07		 Dense 	2529.8	 msD_T : 8.9079e-07
Sparse 	2756.07 	 ms	S_Test : 4.9399e-07		 Dense 	3857.11	 msD_T : 4.9399e-07
Sparse 	2480.29 	 ms	S_Test : 7.6165e-07		 Dense 	3263.77	 msD_T : 7.6165e-07
Sparse 	2928.71 	 ms	S_Test : 7.72544e-07		 Dense 	4214.4	 msD_T : 7.72544e-07
Sparse 	2828.35 	 ms	S_Test : 8.38374e-07		 Dense 	3795.97	 msD_T : 8.38374e-07
Sparse 	2963.24 	 ms	S_Test : 6.87531e-07		 Dense 	4159.8	 msD_T : 6.87531e-07
Sparse 	3065.82 	 ms	S_Test : 8.59188e-07		 Dense 	4603.4	 msD_T : 8.59188e-07
Sparse 	3319.07 	 ms	S_Test : 5.22643e-07		 Dense 	4532.18	 msD_T : 5.22643e-07
Sparse 	3232.76 	 ms	S_Test : 9.51675e-07		 Dense 	4542.83	 msD_T : 9.51675e-07
Sparse 	4718.77 	 ms	S_Test : 7.00984e-07		 Dense 	5325.07	 msD_T : 7.00984e-07
Sparse 	4531.92 	 ms	S_Test : 6.37855e-07		 Dense 	5677.76	 msD_T : 6.37855e-07
Sparse 	4290.48 	 ms	S_Test : 9.97422e-07		 Dense 	5279.08	 msD_T : 9.97422e-07
Sparse 	4584.04 	 ms	S_Test : 6.28238e-07		 Dense 	5949.79	 msD_T : 6.28238e-07
Sparse 	5020.72 	 ms	S_Test : 5.16934e-07		 Dense 	6234.31	 msD_T : 5.16934e-07
Sparse 	5086.5 	 ms	S_Test : 8.5744e-07		 Dense 	6401.9	 msD_T : 8.5744e-07
Sparse 	5078.12 	 ms	S_Test : 9.01351e-07		 Dense 	6506.04	 msD_T : 9.01351e-07
Sparse 	5540.45 	 ms	S_Test : 6.42193e-07		 Dense 	7048.53	 msD_T : 6.42193e-07
Sparse 	6205.17 	 ms	S_Test : 5.00117e-07		 Dense 	7571.91	 msD_T : 5.00117e-07
Sparse 	6097.59 	 ms	S_Test : 8.79338e-07		 Dense 	8973.27	 msD_T : 8.79338e-07
Sparse 	7284.92 	 ms	S_Test : 2.20829e-07		 Dense 	7802.56	 msD_T : 2.20829e-07
Sparse 	6210.65 	 ms	S_Test : 6.79022e-07		 Dense 	10295.4	 msD_T : 6.79022e-07
Sparse 	8166.03 	 ms	S_Test : 6.63161e-07		 Dense 	10268.4	 msD_T : 6.63161e-07
Sparse 	7689.64 	 ms	S_Test : 1.44882e-07		 Dense 	10840.7	 msD_T : 1.44882e-07
Sparse 	8718.32 	 ms	S_Test : 8.04912e-07		 Dense 	8360.3	 msD_T : 8.04912e-07
Sparse 	10126.7 	 ms	S_Test : 6.4e-07		 Dense 	11027.2	 msD_T : 6.4e-07
Sparse 	7509.09 	 ms	S_Test : 6.87002e-07		 Dense 	9770.51	 msD_T : 6.87002e-07
Sparse 	7758.45 	 ms	S_Test : 5.71088e-07		 Dense 	10218.1	 msD_T : 5.71088e-07
Sparse 	9162.82 	 ms	S_Test : 7.5835e-07		 Dense 	11709.6	 msD_T : 7.5835e-07
Sparse 	9076.69 	 ms	S_Test : 8.54602e-07		 Dense 	11404.7	 msD_T : 8.54602e-07
Sparse 	9874.94 	 ms	S_Test : 3.86791e-07		 Dense 	11999.4	 msD_T : 3.86791e-07
Sparse 	10191.1 	 ms	S_Test : 8.22496e-07		 Dense 	12983.1	 msD_T : 8.22496e-07
Sparse 	11070.6 	 ms	S_Test : 3.98583e-07		 Dense 	14044.9	 msD_T : 3.98583e-07
Sparse 	9911.23 	 ms	S_Test : 7.76509e-07		 Dense 	12894.8	 msD_T : 7.76509e-07
Sparse 	10266.1 	 ms	S_Test : 8.23735e-07		 Dense 	13281.9	 msD_T : 8.23735e-07
Sparse 	11791.7 	 ms	S_Test : 7.457e-07		 Dense 	14702	 msD_T : 7.457e-07
Sparse 	10766.3 	 ms	S_Test : 7.74656e-07		 Dense 	13823.8	 msD_T : 7.74656e-07
Sparse 	11946 	 ms	S_Test : 9.93891e-07		 Dense 	14922.4	 msD_T : 9.93891e-07
Sparse 	11093.6 	 ms	S_Test : 8.30008e-07		 Dense 	14457.5	 msD_T : 8.30008e-07
Sparse 	12626.3 	 ms	S_Test : 7.31599e-07		 Dense 	15600.2	 msD_T : 7.31599e-07
Sparse 	12898.2 	 ms	S_Test : 9.24117e-07		 Dense 	16150.7	 msD_T : 9.24117e-07
Sparse 	13835.8 	 ms	S_Test : 5.9777e-07		 Dense 	16912.5	 msD_T : 5.9777e-07
Sparse 	14266.9 	 ms	S_Test : 7.44932e-07		 Dense 	17915.8	 msD_T : 7.44932e-07
Sparse 	13355.7 	 ms	S_Test : 7.91717e-07		 Dense 	16953.9	 msD_T : 7.91717e-07
Sparse 	14349.3 	 ms	S_Test : 6.82328e-07		 Dense 	18103.8	 msD_T : 6.82328e-07
Sparse 	32582.1 	 ms	S_Test : 8.05763e-07		 Dense 	37276.1	 msD_T : 8.05763e-07
Sparse 	36733.3 	 ms	S_Test : 9.28249e-07		 Dense 	32020.7	 msD_T : 9.28249e-07
Sparse 	37392.1 	 ms	S_Test : 9.37141e-07		 Dense 	43458	 msD_T : 9.37141e-07
Sparse 	39178.5 	 ms	S_Test : 6.76502e-07		 Dense 	45107.5	 msD_T : 6.76502e-07
Sparse 	48161.8 	 ms	S_Test : 5.95612e-07		 Dense 	56290.9	 msD_T : 5.95612e-07
