 n is  2		 Sparse 	0.005093 	 ms		 Dense 	0.000633	 ms
 n is  3		 Sparse 	0.000255 	 ms		 Dense 	0.000298	 ms
 n is  4		 Sparse 	0.000218 	 ms		 Dense 	0.000354	 ms
 n is  5		 Sparse 	0.000235 	 ms		 Dense 	0.000338	 ms
 n is  6		 Sparse 	0.000254 	 ms		 Dense 	0.000421	 ms
 n is  7		 Sparse 	0.000266 	 ms		 Dense 	0.000504	 ms
 n is  8		 Sparse 	0.000272 	 ms		 Dense 	0.000511	 ms
 n is  9		 Sparse 	0.000272 	 ms		 Dense 	0.000583	 ms
 n is  10		 Sparse 	0.000313 	 ms		 Dense 	0.000698	 ms
 n is  11		 Sparse 	0.000294 	 ms		 Dense 	0.000741	 ms
 n is  12		 Sparse 	0.00031 	 ms		 Dense 	0.00085	 ms
 n is  13		 Sparse 	0.00038 	 ms		 Dense 	0.000989	 ms
 n is  14		 Sparse 	0.000369 	 ms		 Dense 	0.00123	 ms
 n is  15		 Sparse 	0.000353 	 ms		 Dense 	0.001176	 ms
 n is  16		 Sparse 	0.000399 	 ms		 Dense 	0.001286	 ms
 n is  17		 Sparse 	0.000377 	 ms		 Dense 	0.00145	 ms
 n is  18		 Sparse 	0.000413 	 ms		 Dense 	0.001621	 ms
 n is  19		 Sparse 	0.000412 	 ms		 Dense 	0.001798	 ms
 n is  20		 Sparse 	0.000446 	 ms		 Dense 	0.001965	 ms
 n is  21		 Sparse 	0.000414 	 ms		 Dense 	0.00206	 ms
 n is  22		 Sparse 	0.000481 	 ms		 Dense 	0.002327	 ms
 n is  23		 Sparse 	0.000441 	 ms		 Dense 	0.005467	 ms
 n is  24		 Sparse 	0.000537 	 ms		 Dense 	0.002738	 ms
 n is  25		 Sparse 	0.000486 	 ms		 Dense 	0.002878	 ms
 n is  26		 Sparse 	0.000526 	 ms		 Dense 	0.003091	 ms
 n is  27		 Sparse 	0.000512 	 ms		 Dense 	0.003365	 ms
 n is  28		 Sparse 	0.000549 	 ms		 Dense 	0.003587	 ms
 n is  29		 Sparse 	0.000578 	 ms		 Dense 	0.003786	 ms
 n is  30		 Sparse 	0.000582 	 ms		 Dense 	0.004099	 ms
 n is  31		 Sparse 	0.000574 	 ms		 Dense 	0.007387	 ms
 n is  32		 Sparse 	0.000662 	 ms		 Dense 	0.004547	 ms
 n is  33		 Sparse 	0.000608 	 ms		 Dense 	0.005094	 ms
 n is  34		 Sparse 	0.000643 	 ms		 Dense 	0.005319	 ms
 n is  35		 Sparse 	0.000639 	 ms		 Dense 	0.005755	 ms
 n is  36		 Sparse 	0.000681 	 ms		 Dense 	0.005929	 ms
 n is  37		 Sparse 	0.000661 	 ms		 Dense 	0.006185	 ms
 n is  38		 Sparse 	0.000707 	 ms		 Dense 	0.009446	 ms
 n is  39		 Sparse 	0.000748 	 ms		 Dense 	0.00703	 ms
 n is  40		 Sparse 	0.000727 	 ms		 Dense 	0.007286	 ms
 n is  41		 Sparse 	0.000701 	 ms		 Dense 	0.007626	 ms
 n is  42		 Sparse 	0.000734 	 ms		 Dense 	0.00786	 ms
 n is  43		 Sparse 	0.000757 	 ms		 Dense 	0.011436	 ms
 n is  44		 Sparse 	0.000835 	 ms		 Dense 	0.00873	 ms
 n is  45		 Sparse 	0.000772 	 ms		 Dense 	0.008955	 ms
 n is  46		 Sparse 	0.000822 	 ms		 Dense 	0.009488	 ms
 n is  47		 Sparse 	0.000795 	 ms		 Dense 	0.009918	 ms
 n is  48		 Sparse 	0.00085 	 ms		 Dense 	0.010447	 ms
 n is  49		 Sparse 	0.003657 	 ms		 Dense 	0.011123	 ms
 n is  50		 Sparse 	0.000861 	 ms		 Dense 	0.011286	 ms
 n is  51		 Sparse 	0.000856 	 ms		 Dense 	0.011808	 ms
 n is  52		 Sparse 	0.000895 	 ms		 Dense 	0.012129	 ms
 n is  53		 Sparse 	0.000869 	 ms		 Dense 	0.015443	 ms
 n is  54		 Sparse 	0.000978 	 ms		 Dense 	0.013119	 ms
 n is  55		 Sparse 	0.000899 	 ms		 Dense 	0.013544	 ms
 n is  56		 Sparse 	0.000945 	 ms		 Dense 	0.014104	 ms
 n is  57		 Sparse 	0.000921 	 ms		 Dense 	0.014503	 ms
 n is  58		 Sparse 	0.000974 	 ms		 Dense 	0.017916	 ms
 n is  59		 Sparse 	0.000999 	 ms		 Dense 	0.015508	 ms
 n is  60		 Sparse 	0.001001 	 ms		 Dense 	0.015904	 ms
 n is  61		 Sparse 	0.000991 	 ms		 Dense 	0.019622	 ms
 n is  62		 Sparse 	0.00108 	 ms		 Dense 	0.016985	 ms
 n is  63		 Sparse 	0.001016 	 ms		 Dense 	0.027663	 ms
 n is  64		 Sparse 	0.001128 	 ms		 Dense 	0.018042	 ms
 n is  65		 Sparse 	0.001059 	 ms		 Dense 	0.02261	 ms
 n is  66		 Sparse 	0.001145 	 ms		 Dense 	0.018943	 ms
 n is  67		 Sparse 	0.001081 	 ms		 Dense 	0.019784	 ms
 n is  68		 Sparse 	0.001121 	 ms		 Dense 	0.020278	 ms
 n is  69		 Sparse 	0.001103 	 ms		 Dense 	0.023833	 ms
 n is  70		 Sparse 	0.001188 	 ms		 Dense 	0.021509	 ms
 n is  71		 Sparse 	0.001133 	 ms		 Dense 	0.022072	 ms
 n is  72		 Sparse 	0.001168 	 ms		 Dense 	0.022689	 ms
 n is  73		 Sparse 	0.00145 	 ms		 Dense 	0.023359	 ms
 n is  74		 Sparse 	0.001208 	 ms		 Dense 	0.023697	 ms
 n is  75		 Sparse 	0.001188 	 ms		 Dense 	0.025005	 ms
 n is  76		 Sparse 	0.001256 	 ms		 Dense 	0.028201	 ms
 n is  77		 Sparse 	0.001253 	 ms		 Dense 	0.025516	 ms
 n is  78		 Sparse 	0.001252 	 ms		 Dense 	0.026559	 ms
 n is  79		 Sparse 	0.004128 	 ms		 Dense 	0.027382	 ms
 n is  80		 Sparse 	0.001285 	 ms		 Dense 	0.027914	 ms
 n is  81		 Sparse 	0.001272 	 ms		 Dense 	0.028594	 ms
 n is  82		 Sparse 	0.0013 	 ms		 Dense 	0.028852	 ms
 n is  83		 Sparse 	0.001595 	 ms		 Dense 	0.030038	 ms
 n is  84		 Sparse 	0.001361 	 ms		 Dense 	0.030652	 ms
 n is  85		 Sparse 	0.00133 	 ms		 Dense 	0.034594	 ms
 n is  86		 Sparse 	0.001421 	 ms		 Dense 	0.032183	 ms
 n is  87		 Sparse 	0.001365 	 ms		 Dense 	0.032838	 ms
 n is  88		 Sparse 	0.001387 	 ms		 Dense 	0.050592	 ms
 n is  89		 Sparse 	0.001458 	 ms		 Dense 	0.034432	 ms
 n is  90		 Sparse 	0.001451 	 ms		 Dense 	0.034705	 ms
 n is  91		 Sparse 	0.001746 	 ms		 Dense 	0.036055	 ms
 n is  92		 Sparse 	0.001493 	 ms		 Dense 	0.036666	 ms
 n is  93		 Sparse 	0.001436 	 ms		 Dense 	0.040062	 ms
 n is  94		 Sparse 	0.001521 	 ms		 Dense 	0.038408	 ms
 n is  95		 Sparse 	0.001474 	 ms		 Dense 	0.03903	 ms
 n is  96		 Sparse 	0.001509 	 ms		 Dense 	0.043134	 ms
 n is  97		 Sparse 	0.001536 	 ms		 Dense 	0.047266	 ms
 n is  98		 Sparse 	0.001552 	 ms		 Dense 	0.048218	 ms
 n is  99		 Sparse 	0.0018 	 ms		 Dense 	0.042868	 ms
 n is  100		 Sparse 	0.00158 	 ms		 Dense 	0.043615	 ms
 n is  101		 Sparse 	0.004593 	 ms		 Dense 	0.044228	 ms
 n is  102		 Sparse 	0.001615 	 ms		 Dense 	0.04537	 ms
 n is  103		 Sparse 	0.001579 	 ms		 Dense 	0.06865	 ms
 n is  104		 Sparse 	0.003355 	 ms		 Dense 	0.125128	 ms
 n is  105		 Sparse 	0.010496 	 ms		 Dense 	0.073973	 ms
 n is  106		 Sparse 	0.002651 	 ms		 Dense 	0.072923	 ms
 n is  107		 Sparse 	0.002707 	 ms		 Dense 	0.086829	 ms
 n is  108		 Sparse 	0.003736 	 ms		 Dense 	0.091606	 ms
 n is  109		 Sparse 	0.002733 	 ms		 Dense 	0.085152	 ms
 n is  110		 Sparse 	0.003054 	 ms		 Dense 	0.206077	 ms
 n is  111		 Sparse 	0.003625 	 ms		 Dense 	0.085242	 ms
 n is  112		 Sparse 	0.002993 	 ms		 Dense 	0.089578	 ms
 n is  113		 Sparse 	0.009578 	 ms		 Dense 	0.089229	 ms
 n is  114		 Sparse 	0.003245 	 ms		 Dense 	0.09061	 ms
 n is  115		 Sparse 	0.010583 	 ms		 Dense 	0.092188	 ms
 n is  116		 Sparse 	0.003343 	 ms		 Dense 	0.094726	 ms
 n is  117		 Sparse 	0.009554 	 ms		 Dense 	0.095001	 ms
 n is  118		 Sparse 	0.001933 	 ms		 Dense 	0.060473	 ms
 n is  119		 Sparse 	0.003326 	 ms		 Dense 	0.087804	 ms
 n is  120		 Sparse 	0.002204 	 ms		 Dense 	0.113497	 ms
