 n is  2		 Sparse 	0.004005 	 ms		 Dense 	0.003474	 ms
 n is  3		 Sparse 	0.000306 	 ms		 Dense 	0.000347	 ms
 n is  4		 Sparse 	0.000304 	 ms		 Dense 	0.000382	 ms
 n is  5		 Sparse 	0.000319 	 ms		 Dense 	0.000413	 ms
 n is  6		 Sparse 	0.000353 	 ms		 Dense 	0.000494	 ms
 n is  7		 Sparse 	0.000358 	 ms		 Dense 	0.000513	 ms
 n is  8		 Sparse 	0.000359 	 ms		 Dense 	0.000568	 ms
 n is  9		 Sparse 	0.000361 	 ms		 Dense 	0.000687	 ms
 n is  10		 Sparse 	0.000422 	 ms		 Dense 	0.000816	 ms
 n is  11		 Sparse 	0.000419 	 ms		 Dense 	0.000863	 ms
 n is  12		 Sparse 	0.000404 	 ms		 Dense 	0.000978	 ms
 n is  13		 Sparse 	0.000458 	 ms		 Dense 	0.001195	 ms
 n is  14		 Sparse 	0.000465 	 ms		 Dense 	0.001357	 ms
 n is  15		 Sparse 	0.000431 	 ms		 Dense 	0.00142	 ms
 n is  16		 Sparse 	0.000499 	 ms		 Dense 	0.001516	 ms
 n is  17		 Sparse 	0.000462 	 ms		 Dense 	0.001705	 ms
 n is  18		 Sparse 	0.000529 	 ms		 Dense 	0.001884	 ms
 n is  19		 Sparse 	0.0005 	 ms		 Dense 	0.002074	 ms
 n is  20		 Sparse 	0.000553 	 ms		 Dense 	0.002323	 ms
 n is  21		 Sparse 	0.000542 	 ms		 Dense 	0.002426	 ms
 n is  22		 Sparse 	0.000583 	 ms		 Dense 	0.002742	 ms
 n is  23		 Sparse 	0.000568 	 ms		 Dense 	0.006068	 ms
 n is  24		 Sparse 	0.000633 	 ms		 Dense 	0.003289	 ms
 n is  25		 Sparse 	0.000598 	 ms		 Dense 	0.003353	 ms
 n is  26		 Sparse 	0.000652 	 ms		 Dense 	0.003643	 ms
 n is  27		 Sparse 	0.000646 	 ms		 Dense 	0.00394	 ms
 n is  28		 Sparse 	0.000682 	 ms		 Dense 	0.004203	 ms
 n is  29		 Sparse 	0.000686 	 ms		 Dense 	0.00436	 ms
 n is  30		 Sparse 	0.000711 	 ms		 Dense 	0.004771	 ms
 n is  31		 Sparse 	0.000709 	 ms		 Dense 	0.00837	 ms
 n is  32		 Sparse 	0.000777 	 ms		 Dense 	0.005349	 ms
 n is  33		 Sparse 	0.000742 	 ms		 Dense 	0.005864	 ms
 n is  34		 Sparse 	0.000781 	 ms		 Dense 	0.006164	 ms
 n is  35		 Sparse 	0.000778 	 ms		 Dense 	0.006641	 ms
 n is  36		 Sparse 	0.000828 	 ms		 Dense 	0.006987	 ms
 n is  37		 Sparse 	0.000803 	 ms		 Dense 	0.007231	 ms
 n is  38		 Sparse 	0.00085 	 ms		 Dense 	0.011306	 ms
 n is  39		 Sparse 	0.000846 	 ms		 Dense 	0.008137	 ms
 n is  40		 Sparse 	0.000885 	 ms		 Dense 	0.008478	 ms
 n is  41		 Sparse 	0.000856 	 ms		 Dense 	0.008868	 ms
 n is  42		 Sparse 	0.000893 	 ms		 Dense 	0.00922	 ms
 n is  43		 Sparse 	0.000888 	 ms		 Dense 	0.017398	 ms
 n is  44		 Sparse 	0.00141 	 ms		 Dense 	0.014734	 ms
 n is  45		 Sparse 	0.00093 	 ms		 Dense 	0.010538	 ms
 n is  46		 Sparse 	0.000972 	 ms		 Dense 	0.011092	 ms
 n is  47		 Sparse 	0.000952 	 ms		 Dense 	0.011665	 ms
 n is  48		 Sparse 	0.001016 	 ms		 Dense 	0.012135	 ms
 n is  49		 Sparse 	0.005538 	 ms		 Dense 	0.01293	 ms
 n is  50		 Sparse 	0.001047 	 ms		 Dense 	0.012964	 ms
 n is  51		 Sparse 	0.001017 	 ms		 Dense 	0.013635	 ms
 n is  52		 Sparse 	0.001073 	 ms		 Dense 	0.014057	 ms
 n is  53		 Sparse 	0.001041 	 ms		 Dense 	0.018682	 ms
 n is  54		 Sparse 	0.001126 	 ms		 Dense 	0.016007	 ms
 n is  55		 Sparse 	0.001084 	 ms		 Dense 	0.015761	 ms
 n is  56		 Sparse 	0.001155 	 ms		 Dense 	0.016391	 ms
 n is  57		 Sparse 	0.001108 	 ms		 Dense 	0.016896	 ms
 n is  58		 Sparse 	0.001174 	 ms		 Dense 	0.021628	 ms
 n is  59		 Sparse 	0.001169 	 ms		 Dense 	0.017912	 ms
 n is  60		 Sparse 	0.001205 	 ms		 Dense 	0.01848	 ms
 n is  61		 Sparse 	0.001176 	 ms		 Dense 	0.022652	 ms
 n is  62		 Sparse 	0.001266 	 ms		 Dense 	0.019727	 ms
 n is  63		 Sparse 	0.001214 	 ms		 Dense 	0.020325	 ms
 n is  64		 Sparse 	0.001264 	 ms		 Dense 	0.028397	 ms
 n is  65		 Sparse 	0.001253 	 ms		 Dense 	0.032437	 ms
 n is  66		 Sparse 	0.001195 	 ms		 Dense 	0.019615	 ms
 n is  67		 Sparse 	0.001161 	 ms		 Dense 	0.020443	 ms
 n is  68		 Sparse 	0.001184 	 ms		 Dense 	0.021038	 ms
 n is  69		 Sparse 	0.001188 	 ms		 Dense 	0.024617	 ms
 n is  70		 Sparse 	0.00125 	 ms		 Dense 	0.022245	 ms
 n is  71		 Sparse 	0.001211 	 ms		 Dense 	0.022868	 ms
 n is  72		 Sparse 	0.001277 	 ms		 Dense 	0.023565	 ms
 n is  73		 Sparse 	0.001493 	 ms		 Dense 	0.024183	 ms
 n is  74		 Sparse 	0.001282 	 ms		 Dense 	0.035451	 ms
 n is  75		 Sparse 	0.001295 	 ms		 Dense 	0.025877	 ms
 n is  76		 Sparse 	0.001346 	 ms		 Dense 	0.02943	 ms
 n is  77		 Sparse 	0.001317 	 ms		 Dense 	0.026581	 ms
 n is  78		 Sparse 	0.001316 	 ms		 Dense 	0.027458	 ms
 n is  79		 Sparse 	0.004885 	 ms		 Dense 	0.028397	 ms
 n is  80		 Sparse 	0.00137 	 ms		 Dense 	0.028894	 ms
 n is  81		 Sparse 	0.001343 	 ms		 Dense 	0.029629	 ms
 n is  82		 Sparse 	0.001393 	 ms		 Dense 	0.029925	 ms
 n is  83		 Sparse 	0.001648 	 ms		 Dense 	0.031115	 ms
 n is  84		 Sparse 	0.001426 	 ms		 Dense 	0.031844	 ms
 n is  85		 Sparse 	0.001402 	 ms		 Dense 	0.035304	 ms
 n is  86		 Sparse 	0.001455 	 ms		 Dense 	0.033261	 ms
 n is  87		 Sparse 	0.00144 	 ms		 Dense 	0.034035	 ms
 n is  88		 Sparse 	0.001472 	 ms		 Dense 	0.034857	 ms
 n is  89		 Sparse 	0.0015 	 ms		 Dense 	0.035622	 ms
 n is  90		 Sparse 	0.001509 	 ms		 Dense 	0.035955	 ms
 n is  91		 Sparse 	0.001744 	 ms		 Dense 	0.037264	 ms
 n is  92		 Sparse 	0.001551 	 ms		 Dense 	0.037937	 ms
 n is  93		 Sparse 	0.001513 	 ms		 Dense 	0.041844	 ms
 n is  94		 Sparse 	0.001577 	 ms		 Dense 	0.042701	 ms
 n is  95		 Sparse 	0.001582 	 ms		 Dense 	0.040539	 ms
 n is  96		 Sparse 	0.001591 	 ms		 Dense 	0.045818	 ms
 n is  97		 Sparse 	0.001586 	 ms		 Dense 	0.048808	 ms
 n is  98		 Sparse 	0.001632 	 ms		 Dense 	0.051018	 ms
 n is  99		 Sparse 	0.001898 	 ms		 Dense 	0.044473	 ms
 n is  100		 Sparse 	0.001664 	 ms		 Dense 	0.045088	 ms
 n is  101		 Sparse 	0.005192 	 ms		 Dense 	0.045815	 ms
 n is  102		 Sparse 	0.001701 	 ms		 Dense 	0.046998	 ms
 n is  103		 Sparse 	0.001677 	 ms		 Dense 	0.051506	 ms
 n is  104		 Sparse 	0.001722 	 ms		 Dense 	0.048843	 ms
 n is  105		 Sparse 	0.001707 	 ms		 Dense 	0.049638	 ms
 n is  106		 Sparse 	0.001747 	 ms		 Dense 	0.053262	 ms
 n is  107		 Sparse 	0.001743 	 ms		 Dense 	0.051643	 ms
 n is  108		 Sparse 	0.001771 	 ms		 Dense 	0.055865	 ms
 n is  109		 Sparse 	0.001766 	 ms		 Dense 	0.052861	 ms
 n is  110		 Sparse 	0.003 	 ms		 Dense 	0.054704	 ms
 n is  111		 Sparse 	0.002101 	 ms		 Dense 	0.055451	 ms
 n is  112		 Sparse 	0.00185 	 ms		 Dense 	0.056553	 ms
 n is  113		 Sparse 	0.002084 	 ms		 Dense 	0.057511	 ms
